product_id,product_name,product_type,price
PROD001,Wireless Bluetooth Headphones,Electronics,1299.99
PROD002,Organic Green Tea,Food & Beverages,149.50
PROD003,Running Shoes Pro,Sports & Outdoors,2499.00
PROD004,Stainless Steel Water Bottle,Home & Kitchen,399.00
PROD005,Laptop Stand Adjustable,Electronics,899.00
PROD006,Cotton T-Shirt Classic,Apparel,599.00
PROD007,USB-C Charging Cable 2m,Electronics,199.00
PROD008,Yoga Mat Premium,Sports & Outdoors,1199.00
PROD009,Ceramic Coffee Mug Set,Home & Kitchen,449.00
PROD010,Protein Powder Chocolate,Health & Wellness,1599.00
